Game Name,Visitor/Neutral,Home/Neutral,Cutoff Time,Away Odds,Home Odds,Cutoff Date
IND Pacers v NO Pelicans,NO Pelicans,IND Pacers,2024-12-15 22:00:00+00:00,230,-268,2024-12-15
ORL Magic v NY Knicks,NY Knicks,ORL Magic,2024-12-15 23:00:00+00:00,-185,163,2024-12-15
WAS Wizards v BOS Celtics,BOS Celtics,WAS Wizards,2024-12-15 23:00:00+00:00,-1851,1145,2024-12-15
SA Spurs v MIN Timberwolves,MIN Timberwolves,SA Spurs,2024-12-16 00:10:00+00:00,-177,156,2024-12-16
PHX Suns v POR Trail Blazers,POR Trail Blazers,PHX Suns,2024-12-16 01:10:00+00:00,486,-636,2024-12-16
GS Warriors v DAL Mavericks,DAL Mavericks,GS Warriors,2024-12-16 01:40:00+00:00,-142,127,2024-12-16
LA Lakers v MEM Grizzlies,MEM Grizzlies,LA Lakers,2024-12-16 02:40:00+00:00,-186,164,2024-12-16
DET Pistons v MIA Heat,MIA Heat,DET Pistons,2024-12-17 00:00:00+00:00,-184,162,2024-12-17
CHA Hornets v PHI 76ers,PHI 76ers,CHA Hornets,2024-12-17 00:10:00+00:00,-150,134,2024-12-17
BKN Nets v CLE Cavaliers,CLE Cavaliers,BKN Nets,2024-12-17 00:40:00+00:00,-515,407,2024-12-17
TOR Raptors v CHI Bulls,CHI Bulls,TOR Raptors,2024-12-17 00:40:00+00:00,-122,109,2024-12-17
SAC Kings v DEN Nuggets,DEN Nuggets,SAC Kings,2024-12-17 03:10:00+00:00,109,-121,2024-12-17
LA Clippers v UTA Jazz,UTA Jazz,LA Clippers,2024-12-17 03:40:00+00:00,282,-337,2024-12-17
DET Pistons v UTA Jazz,UTA Jazz,DET Pistons,2024-12-19 13:59:17+00:00,146,-196,2024-12-19
ORL Magic v OKC Thunder,OKC Thunder,ORL Magic,2024-12-20 00:00:00+00:00,-263,189,2024-12-20
DET Pistons v UTA Jazz,UTA Jazz,DET Pistons,2024-12-20 00:10:00+00:00,135,-181,2024-12-20
WAS Wizards v CHA Hornets,CHA Hornets,WAS Wizards,2024-12-20 00:10:00+00:00,-178,134,2024-12-20
TOR Raptors v BKN Nets,BKN Nets,TOR Raptors,2024-12-20 00:40:00+00:00,131,-175,2024-12-20
BOS Celtics v CHI Bulls,CHI Bulls,BOS Celtics,2024-12-20 00:40:00+00:00,617,-1428,2024-12-20
MEM Grizzlies v GS Warriors,GS Warriors,MEM Grizzlies,2024-12-20 01:10:00+00:00,133,-178,2024-12-20
SA Spurs v ATL Hawks,ATL Hawks,SA Spurs,2024-12-20 01:10:00+00:00,-109,-120,2024-12-20
HOU Rockets v NO Pelicans,NO Pelicans,HOU Rockets,2024-12-20 01:10:00+00:00,350,-555,2024-12-20
DAL Mavericks v LA Clippers,LA Clippers,DAL Mavericks,2024-12-20 01:40:00+00:00,198,-277,2024-12-20
PHX Suns v IND Pacers,IND Pacers,PHX Suns,2024-12-20 02:10:00+00:00,192,-270,2024-12-20
MIN Timberwolves v NY Knicks,NY Knicks,MIN Timberwolves,2024-12-20 02:30:00+00:00,106,-140,2024-12-20
SAC Kings v LA Lakers,LA Lakers,SAC Kings,2024-12-20 03:10:00+00:00,163,-222,2024-12-20
POR Trail Blazers v DEN Nuggets,DEN Nuggets,POR Trail Blazers,2024-12-20 03:10:00+00:00,-400,271,2024-12-20
PHI 76ers v CHA Hornets,CHA Hornets,PHI 76ers,2024-12-21 00:00:00+00:00,548,-1111,2024-12-21
CLE Cavaliers v MIL Bucks,MIL Bucks,CLE Cavaliers,2024-12-21 00:30:00+00:00,287,-434,2024-12-21
MIA Heat v OKC Thunder,OKC Thunder,MIA Heat,2024-12-21 01:00:00+00:00,-112,-117,2024-12-21
SAC Kings v LA Lakers,LA Lakers,SAC Kings,2024-12-21 23:10:00+00:00,175,-198,2024-12-21
ORL Magic v MIA Heat,MIA Heat,ORL Magic,2024-12-22 00:10:00+00:00,124,-139,2024-12-22
ATL Hawks v MEM Grizzlies,MEM Grizzlies,ATL Hawks,2024-12-22 00:40:00+00:00,-112,100,2024-12-22
BKN Nets v UTA Jazz,UTA Jazz,BKN Nets,2024-12-22 00:40:00+00:00,113,-126,2024-12-22
CLE Cavaliers v PHI 76ers,PHI 76ers,CLE Cavaliers,2024-12-22 01:10:00+00:00,432,-552,2024-12-22
CHI Bulls v BOS Celtics,BOS Celtics,CHI Bulls,2024-12-22 01:10:00+00:00,-719,536,2024-12-22
MIL Bucks v WAS Wizards,WAS Wizards,MIL Bucks,2024-12-22 01:10:00+00:00,478,-625,2024-12-22
NO Pelicans v NY Knicks,NY Knicks,NO Pelicans,2024-12-22 01:10:00+00:00,-304,258,2024-12-22
MIN Timberwolves v GS Warriors,GS Warriors,MIN Timberwolves,2024-12-22 01:10:00+00:00,135,-152,2024-12-22
SA Spurs v POR Trail Blazers,POR Trail Blazers,SA Spurs,2024-12-22 01:40:00+00:00,227,-265,2024-12-22
DAL Mavericks v LA Clippers,LA Clippers,DAL Mavericks,2024-12-22 01:40:00+00:00,143,-161,2024-12-22
PHX Suns v DET Pistons,DET Pistons,PHX Suns,2024-12-22 02:10:00+00:00,206,-238,2024-12-22
SAC Kings v IND Pacers,IND Pacers,SAC Kings,2024-12-22 23:10:00+00:00,116,-130,2024-12-22
TOR Raptors v HOU Rockets,HOU Rockets,TOR Raptors,2024-12-22 23:10:00+00:00,-318,268,2024-12-22
NO Pelicans v DEN Nuggets,DEN Nuggets,NO Pelicans,2024-12-23 00:10:00+00:00,-446,359,2024-12-23
ORL Magic v BOS Celtics,BOS Celtics,ORL Magic,2024-12-24 00:10:00+00:00,-487,387,2024-12-24
PHI 76ers v SA Spurs,SA Spurs,PHI 76ers,2024-12-24 00:10:00+00:00,182,-208,2024-12-24
CHA Hornets v HOU Rockets,HOU Rockets,CHA Hornets,2024-12-24 00:10:00+00:00,-241,209,2024-12-24
CLE Cavaliers v UTA Jazz,UTA Jazz,CLE Cavaliers,2024-12-24 00:10:00+00:00,742,-1052,2024-12-24
MIA Heat v BKN Nets,BKN Nets,MIA Heat,2024-12-24 00:30:00+00:00,407,-515,2024-12-24
ATL Hawks v MIN Timberwolves,MIN Timberwolves,ATL Hawks,2024-12-24 00:40:00+00:00,-160,142,2024-12-24
NY Knicks v TOR Raptors,TOR Raptors,NY Knicks,2024-12-24 00:40:00+00:00,619,-862,2024-12-24
MEM Grizzlies v LA Clippers,LA Clippers,MEM Grizzlies,2024-12-24 01:10:00+00:00,195,-224,2024-12-24
OKC Thunder v WAS Wizards,WAS Wizards,OKC Thunder,2024-12-24 01:10:00+00:00,978,-1492,2024-12-24
CHI Bulls v MIL Bucks,MIL Bucks,CHI Bulls,2024-12-24 01:10:00+00:00,-119,107,2024-12-24
DAL Mavericks v POR Trail Blazers,POR Trail Blazers,DAL Mavericks,2024-12-24 01:40:00+00:00,453,-588,2024-12-24
GS Warriors v IND Pacers,IND Pacers,GS Warriors,2024-12-24 03:10:00+00:00,192,-220,2024-12-24
DEN Nuggets v PHX Suns,PHX Suns,DEN Nuggets,2024-12-24 03:10:00+00:00,166,-189,2024-12-24
LA Lakers v DET Pistons,DET Pistons,LA Lakers,2024-12-24 03:40:00+00:00,193,-222,2024-12-24
NY Knicks v SA Spurs,SA Spurs,NY Knicks,2024-12-25 17:10:00+00:00,294,-434,2024-12-25
DAL Mavericks v MIN Timberwolves,MIN Timberwolves,DAL Mavericks,2024-12-25 19:40:00+00:00,150,-204,2024-12-25
BOS Celtics v PHI 76ers,PHI 76ers,BOS Celtics,2024-12-25 22:10:00+00:00,298,-454,2024-12-25
GS Warriors v LA Lakers,LA Lakers,GS Warriors,2024-12-26 01:10:00+00:00,138,-156,2024-12-26
PHX Suns v DEN Nuggets,DEN Nuggets,PHX Suns,2024-12-26 03:40:00+00:00,-141,126,2024-12-26
NY Knicks v SA Spurs,SA Spurs,NY Knicks,2024-12-26 04:00:00+00:00,304,-383,2024-12-26
DAL Mavericks v MIN Timberwolves,MIN Timberwolves,DAL Mavericks,2024-12-26 04:00:00+00:00,177,-207,2024-12-26
WAS Wizards v CHA Hornets,CHA Hornets,WAS Wizards,2024-12-27 00:00:00+00:00,-185,163,2024-12-27
ORL Magic v MIA Heat,MIA Heat,ORL Magic,2024-12-27 00:10:00+00:00,-104,-106,2024-12-27
IND Pacers v OKC Thunder,OKC Thunder,IND Pacers,2024-12-27 00:10:00+00:00,-207,181,2024-12-27
ATL Hawks v CHI Bulls,CHI Bulls,ATL Hawks,2024-12-27 00:40:00+00:00,217,-251,2024-12-27
MEM Grizzlies v TOR Raptors,TOR Raptors,MEM Grizzlies,2024-12-27 01:10:00+00:00,495,-653,2024-12-27
MIL Bucks v BKN Nets,BKN Nets,MIL Bucks,2024-12-27 01:10:00+00:00,392,-492,2024-12-27
NO Pelicans v HOU Rockets,HOU Rockets,NO Pelicans,2024-12-27 01:10:00+00:00,-301,255,2024-12-27
POR Trail Blazers v UTA Jazz,UTA Jazz,POR Trail Blazers,2024-12-27 03:10:00+00:00,107,-119,2024-12-27
SAC Kings v DET Pistons,DET Pistons,SAC Kings,2024-12-27 03:10:00+00:00,192,-221,2024-12-27
ORL Magic v NY Knicks,NY Knicks,ORL Magic,2024-12-28 00:10:00+00:00,-269,230,2024-12-28
BKN Nets v SA Spurs,SA Spurs,BKN Nets,2024-12-28 00:40:00+00:00,-273,233,2024-12-28
BOS Celtics v IND Pacers,IND Pacers,BOS Celtics,2024-12-28 00:40:00+00:00,505,-671,2024-12-28
NO Pelicans v MEM Grizzlies,MEM Grizzlies,NO Pelicans,2024-12-28 01:00:00+00:00,-387,317,2024-12-28
HOU Rockets v MIN Timberwolves,MIN Timberwolves,HOU Rockets,2024-12-28 01:10:00+00:00,103,-115,2024-12-28
DEN Nuggets v CLE Cavaliers,CLE Cavaliers,DEN Nuggets,2024-12-28 02:10:00+00:00,-143,127,2024-12-28
PHX Suns v DAL Mavericks,DAL Mavericks,PHX Suns,2024-12-28 02:10:00+00:00,100,-111,2024-12-28
LA Clippers v GS Warriors,GS Warriors,LA Clippers,2024-12-28 03:10:00+00:00,156,-177,2024-12-28
ATL Hawks v MIA Heat,MIA Heat,ATL Hawks,2024-12-28 20:10:00+00:00,0,0,2024-12-28
CHA Hornets v OKC Thunder,OKC Thunder,CHA Hornets,2024-12-28 23:10:00+00:00,-649,493,2024-12-28
WAS Wizards v NY Knicks,NY Knicks,WAS Wizards,2024-12-29 00:10:00+00:00,-628,481,2024-12-29
CHI Bulls v MIL Bucks,MIL Bucks,CHI Bulls,2024-12-29 01:10:00+00:00,-170,151,2024-12-29
GS Warriors v PHX Suns,PHX Suns,GS Warriors,2024-12-29 01:40:00+00:00,213,-246,2024-12-29
DEN Nuggets v DET Pistons,DET Pistons,DEN Nuggets,2024-12-29 02:10:00+00:00,0,0,2024-12-29
UTA Jazz v PHI 76ers,PHI 76ers,UTA Jazz,2024-12-29 02:40:00+00:00,-249,214,2024-12-29
POR Trail Blazers v DAL Mavericks,DAL Mavericks,POR Trail Blazers,2024-12-29 03:10:00+00:00,-197,173,2024-12-29
LA Lakers v SAC Kings,SAC Kings,LA Lakers,2024-12-29 03:40:00+00:00,-103,-107,2024-12-29
ORL Magic v BKN Nets,BKN Nets,ORL Magic,2024-12-29 20:40:00+00:00,269,-319,2024-12-29
TOR Raptors v ATL Hawks,ATL Hawks,TOR Raptors,2024-12-29 23:10:00+00:00,-107,-103,2024-12-29
BOS Celtics v IND Pacers,IND Pacers,BOS Celtics,2024-12-29 23:10:00+00:00,471,-613,2024-12-29
HOU Rockets v MIA Heat,MIA Heat,HOU Rockets,2024-12-30 00:10:00+00:00,298,-359,2024-12-30
OKC Thunder v MEM Grizzlies,MEM Grizzlies,OKC Thunder,2024-12-30 00:10:00+00:00,217,-251,2024-12-30
MIN Timberwolves v SA Spurs,SA Spurs,MIN Timberwolves,2024-12-30 01:10:00+00:00,210,-243,2024-12-30
CHA Hornets v PHX Suns,PHX Suns,CHA Hornets,2025-01-08 00:00:00+00:00,0,0,2025-01-08
WAS Wizards v HOU Rockets,HOU Rockets,WAS Wizards,2025-01-08 00:00:00+00:00,0,0,2025-01-08
