Visitor/Neutral,PTS,Home/Neutral,PTS2,AwayOdds,HomeOdds
Orlando Magic,100,Brooklyn Nets,92,-259,+223
Indiana Pacers,121,Memphis Grizzlies,136,+217,-251
Boston Celtics,111,Cleveland Cavaliers,115,-114,+102
New Orleans Pelicans,85,New York Knicks,118,+541,-729
Miami Heat,116,Toronto Raptors,119,-184,+162
Oklahoma City Thunder,116,Houston Rockets,119,-119,+107
Los Angeles Lakers,105,Utah Jazz,104,-282,+240
Dallas Mavericks,137,Portland Trail Blazers,131,-214,+177
San Antonio Spurs,127,Sacramento Kings,125,+205,-236
Denver Nuggets,122,Los Angeles Clippers,126,-141,+125
New Orleans Pelicans,112,Atlanta Hawks,124,+350,-445
Miami Heat,89,Boston Celtics,108,+269,-320
Brooklyn Nets,102,Chicago Bulls,128,+261,-309
Los Angeles Lakers,80,Minnesota Timberwolves,109,+266,-315
Philadelphia 76ers,110,Charlotte Hornets,104,-238,+174
Washington Wizards,87,Cleveland Cavaliers,118,+769,-1999
Milwaukee Bucks,128,Detroit Pistons,107,-185,+137
Orlando Magic,106,New York Knicks,121,+194,-270
Indiana Pacers,111,Toronto Raptors,122,-136,+102
Utah Jazz,106,Oklahoma City Thunder,133,+630,-1428
Memphis Grizzlies,116,Dallas Mavericks,121,+117,-156
San Antonio Spurs,93,Phoenix Suns,104,+246,-357
Golden State Warriors,115,Denver Nuggets,119,+110,-147
Houston Rockets,111,Sacramento Kings,120,-109,-120
Portland Trail Blazers,105,Los Angeles Clippers,127,+313,-476
Detroit Pistons,120,Boston Celtics,130,+724,-1020
Indiana Pacers,90,Brooklyn Nets,99,-134,+120
Los Angeles Lakers,93,Miami Heat,134,+122,-136
Orlando Magic,106,Philadelphia 76ers,102,-196,+172
Atlanta Hawks,119,Milwaukee Bucks,104,+149,-168
Minnesota Timberwolves,108,Los Angeles Clippers,80,-142,+127
Denver Nuggets,114,Cleveland Cavaliers,126,+155,-176
Dallas Mavericks,137,Washington Wizards,101,-999,+698
Charlotte Hornets,101,New York Knicks,125,+711,-1030
Oklahoma City Thunder,129,Toronto Raptors,92,-425,+345
Sacramento Kings,110,Memphis Grizzlies,115,+136,-153
Phoenix Suns,124,New Orleans Pelicans,126,-128,+115
Chicago Bulls,139,San Antonio Spurs,124,+110,-123
Houston Rockets,93,Golden State Warriors,99,-163,+145
Orlando Magic,94,Philadelphia 76ers,102,-166,+147
Los Angeles Lakers,132,Atlanta Hawks,134,+180,-205
Milwaukee Bucks,105,Boston Celtics,111,+277,-331
Indiana Pacers,132,Chicago Bulls,123,-152,+135
Sacramento Kings,140,San Antonio Spurs,113,-223,+194
Minnesota Timberwolves,107,Golden State Warriors,90,-110,-101
Utah Jazz,141,Portland Trail Blazers,99,+122,-137
Cleveland Cavaliers,116,Charlotte Hornets,102,-1666,+1039
Oklahoma City Thunder,119,New Orleans Pelicans,109,-327,+274
Denver Nuggets,113,Washington Wizards,122,-884,+635
Detroit Pistons,120,New York Knicks,111,+288,-344
Dallas Mavericks,125,Toronto Raptors,118,-349,+290
Memphis Grizzlies,127,Boston Celtics,121,+227,-263
Phoenix Suns,111,Miami Heat,121,+185,-211
Philadelphia 76ers,108,Chicago Bulls,100,+116,-137
Milwaukee Bucks,118,Brooklyn Nets,113,-227,+197
Charlotte Hornets,113,Indiana Pacers,109,+470,-613
Denver Nuggets,141,Atlanta Hawks,111,+113,-126
Cleveland Cavaliers,113,Miami Heat,122,-144,+128
Phoenix Suns,110,Orlando Magic,115,+118,-132
New Orleans Pelicans,116,San Antonio Spurs,121,+193,-222
Memphis Grizzlies,140,Washington Wizards,112,-531,+418
Minnesota Timberwolves,106,Golden State Warriors,114,-104,-106
Houston Rockets,117,Los Angeles Clippers,106,-163,+145
Utah Jazz,97,Sacramento Kings,141,+501,-662
Portland Trail Blazers,98,Los Angeles Lakers,107,+335,-413
New York Knicks,113,Toronto Raptors,108,-261,+225
Orlando Magic,109,Milwaukee Bucks,114,+284,-353
Dallas Mavericks,104,Oklahoma City Thunder,118,+151,-174
Atlanta Hawks,108,New York Knicks,100,+231,-333
Golden State Warriors,90,Houston Rockets,91,+120,-137
Detroit Pistons,99,Boston Celtics,123,+544,-1111
Toronto Raptors,104,Miami Heat,114,+384,-625
Sacramento Kings,111,New Orleans Pelicans,109,-265,+227
Washington Wizards,105,Cleveland Cavaliers,115,+877,-3333
Indiana Pacers,121,Philadelphia 76ers,107,+172,-238
Charlotte Hornets,95,Chicago Bulls,109,+162,-222
Brooklyn Nets,119,Memphis Grizzlies,135,+359,-588
Los Angeles Lakers,87,Minnesota Timberwolves,97,+300,-380
Los Angeles Clippers,98,Denver Nuggets,120,+202,-285
Phoenix Suns,134,Utah Jazz,126,-217,+160
San Antonio Spurs,118,Portland Trail Blazers,116,-163,123
Atlanta Hawks,102,Milwaukee Bucks,110,+125,-169
Houston Rockets,96,Oklahoma City Thunder,111,+164,-222